Employee ID,First Name,Last Name,Age,Gender,DOB,Date Joined,Date Resigned,Department,Salary,Performance level
150,Shannon,Fleming,53,Decline to comment,1968-01-27,2020-07-15,2023-10-15,Customer Servic,116602,2
151,Kimberly,Miller,67,Man,1932-09-28,2022-02-05,2025-04-25,Customer Service,3106,Exceeds
152,Victoria,Clark,55,Man,1960-12-12,2021-02-21,2022-09-16,Finance,171935,1
153,Laura,Rodriguez,65,M,2000-11-12,2020-04-27,2020-09-13,IT,44009,4
154,Charles,Mclaughlin,20,Man,1920-10-04,2024-02-07,2024-12-08,Engineering,154149,Meets
155,Gabrielle,velazquez ,35,Boy,1993-04-05,2021-04-12,2024-12-16,HR,4168,2
156,Herbert, carey,61,F,,2020-10-19,2022-01-20,Sales,112275,Exceeds
157,Eric,Garcia,48,N/A,01 Mar 1961,2022-02-20,2025-12-21,Sales,127486,4
158,Henry,Abbott,26,F,1929-08-23,2021-12-22,2024-07-14,Engineering,8973,Exceeds
159,jessica ,Davis,21,Woman,1990-02-07,2020-01-24,2024-01-19,IT,82126,Needs Improvement
160,,Jenkins Ward,70,M,28 Jul 1969,2023-09-16,2024-01-02,Finance,150315,Exceeds
161,Amy,Butler,25,Decline to comment,04 Mar 1920,2024-07-18,2026-10-20,I,179160,Needs Improvement
162,linda ,Allen,66,Male,07 Mar 2003,2022-08-03,2022-09-22,IT,189649,1
163,Benjamin,Miller,49,F,23 Jun 1919,2020-04-25,2020-12-11,Sales,53455,5
164,Daniel,Nguyen,48,N/A,18 Jun 1960,2021-05-19,2022-05-17,Finance,11340,2
165,William,Ruiz,69,Female,2015-10-15,2020-02-29,2021-08-06,Operations,111282,1
166,Lori,Esparza,20,N/A,1930-04-12,2024-06-24,2026-01-02,Sales,71233,Meets
167, Joseph,Dyer,44,Woman,03 Feb 2005,2021-08-23,2023-08-06,Sales,141353,3
168,helen ,Randall,70,Man,31 Oct 1932,2022-09-17,2024-07-31,HR,181353,3
169,,Taylor White,70,Male,26 Feb 2007,2024-09-13,2025-10-02,IT,158441,1
170,Jennifer,knight ,28,Girl,24 Mar 1945,2020-07-18,2020-09-14,Finance,179272,5
171,Deborah, saunders,53,Decline to comment,,2022-03-30,2025-09-08,Customer Service,78888,Below
172,,Jones Lopez,52,Man,1956-11-01,2022-10-05,2025-02-12,Sales,75750,3
173, Nina,Brown,36,Girl,07 Mar 1922,2021-09-08,2023-11-15,Sales,62935,4
174,James,Johnson,21,N/A,,2020-07-26,2022-07-15,HR,98545,Outstanding
175,Teresa,Lin,19,Male,1913-03-06,2024-11-14,2026-05-07,HR,141226,4
176,,Powell Little,23,M,1954-02-21,2022-01-26,2024-12-22,H,123133,Needs Improvement
177,Andrew,Barker,53,Man,1940-09-27,2021-01-12,2024-08-27,Operations,87399,5
178,Margaret,Wang,39,N/A,1954-07-28,2024-12-28,2028-06-27,Engineering,57686,1
179, Cody,kirk ,29,Boy,1909-01-24,2020-10-17,2022-06-05,Marketing,125492,3
180,Alexander,Morse,55,Male,1934-11-02,2022-11-21,2025-11-13,HR,179193,5
181,Tammy,Smith,61,Man,14 Nov 2004,2021-04-29,2023-04-06,Customer Service,83996,4
182,Marissa Lisa,,64,Decline to comment,18 Sep 1978,2020-04-19,2023-11-03,H,13166,Exceeds
183,Jessica,Hancock,43,Male,18 Apr 1955,2024-02-07,2026-10-22,Finance,36556,Meets
184,Ashley,Gill,51,Man,31 May 2020,2024-03-29,2025-04-26,Marketing,184865,3
185,Sarah,Harris,48,Female,2000-05-05,2022-07-03,2024-02-27,Operations,147954,Needs Improvement
186,Lindsey,Gonzalez,,N/A,22 Dec 1931,2023-04-28,2024-10-18,Engineering,139968,Exceeds
187,Lindsey,Hogan,51,F,03 Apr 1933,2020-08-18,2023-03-28,marketinging,156269,2
188,David Heather,,69,Female,18 Aug 1956,2020-01-10,2023-07-26,Marketing,136804,Exceeds
189,Kelsey,cobb ,,N/A,,2023-09-03,2027-02-03,Customer Service,82484,2
190,Megan,Dodson,56,Man,,2021-04-19,2024-07-14,Marketing,41984,5
191,Pamela,Harper,60,F,1918-11-09,2022-06-06,2025-01-13,Sales,181929,4
192,Andrea,Crosby,20,Male,03 Oct 1963,2020-05-18,2024-02-17,Engineering,156112,Needs Improvement
193,,Dennis Wagner,,M,2019-02-25,2021-06-12,2024-06-19,IT,4133,2
194,Shawn,Warren,56,F,26 Jan 1923,2022-07-28,2023-02-12,Operations,139051,2
195,david ,bates ,40,Boy,,2022-03-06,2026-02-22,IT,47696,2
196, Barry, cardenas,32,F,23 Dec 1975,2024-07-13,2026-08-02,Finance,73114,5
197,Katherine,Carter,22,Female,09 Oct 1979,2020-07-09,2023-08-15,Operations,110615,3
198,Anthony,Terrell,61,Man,22 Jul 1965,2024-01-19,2025-08-07,Operations,71851,Below
199,,Suarez Copeland,,Man,2004-10-20,2024-04-10,2025-10-11,HR,63846,3
200,Julia,Watson,45,Girl,30 Apr 1961,2020-02-06,2022-04-21,IT,131988,4
201,Michael, lewis,,Male,07 Dec 2022,2024-12-20,2025-10-25,Engineering,181717,2
202,Patrick,Lopez,43,Man,1989-11-20,2023-10-04,2023-12-30,Customer Service,162142,Needs Improvement
203,John,Hernandez,33,Male,1999-12-24,2020-02-20,2021-04-01,Engineering,48371,4
204,Cody,Rodgers,40,Man,26 Apr 1926,2022-10-13,2025-12-11,HR,89312,5
205,Gregory,Bryant,24,Female,10 May 2010,2022-07-10,2024-09-04,Operations,162350,Exceeds
206,Jacob,Martin,,Man,1964-06-19,2023-05-28,2025-05-15,Operations,150988,4
207,Brandon,peck ,63,M,1990-02-19,2024-12-20,2026-05-11,HR,59704,Needs Improvement
208,Derek,Simon,42,Male,14 Sep 1995,2021-01-25,2021-07-25,Customer Service,36609,4
209,Matthew,Griffin,47,N/A,19 Aug 1975,2024-07-17,2025-03-18,IT,32840,5
210,Shannon,Anderson,45,Girl,2011-07-19,2022-05-21,2025-11-18,Customer Service,89472,2
211, Whitney,Galloway,26,Female,1945-08-20,2022-08-06,2023-05-17,Engineering,137404,Meets
212,Stephen,Adams,59,M,1931-09-02,2023-11-21,2025-06-08,Finance,101022,2
213,Stacey,Miller,34,Boy,16 Jun 2023,2024-10-17,2027-10-02,IT,126186,Needs Improvement
214, Alexander,Morris,39,Girl,06 Apr 1941,2023-03-03,2025-02-28,IT,146084,3
215,Doris,Wong,58,Man,1925-03-18,2024-05-05,2025-04-08,Marketing,182491,4
216,Ryan,Ramsey,21,Decline to comment,2022-04-30,2020-05-23,2023-04-12,IT,122498,Outstanding
217,,Reid Hill,51,Woman,05 Jun 1937,2021-03-31,2023-07-25,HR,152605,Outstanding
218,Shane Christian,,31,Girl,1952-09-30,2020-10-25,2022-10-20,Customer Service,179867,3
219,Melissa,Benson,27,Decline to comment,1958-10-28,2023-02-19,2025-04-11,Operations,100987,5
220,Christine,hudson ,,N/A,1955-05-23,2021-08-16,2024-04-24,Customer Service,71027,5
221,William,Clark,30,Male,08 Apr 1988,2021-09-14,2024-03-16,Engineering,146064,Below
222,Richard,Houston,45,Female,12 Jan 1993,2023-11-09,2024-12-01,IT,165414,3
223,Bianca,Brown,31,F,1949-04-16,2020-07-02,2023-02-21,Sale,85255,Needs Improvement
224, Laura,Young,26,Boy,29 Jul 1951,2024-08-05,2026-11-17,HR,134045,2
225,Jennifer,Williams,43,Decline to comment,,2022-12-05,2023-09-17,Customer Service,106631,1
226,,Wise Brown,70,N/A,14 Mar 1950,2020-12-03,2021-09-15,HR,134208,Outstanding
227, William,Houston,,Man,1996-09-03,2020-12-22,2024-10-06,Marketing,199930,1
228,Brian,Banks,44,Boy,07 Sep 1991,2020-03-03,2021-09-22,Marketing,158903,1
229,,Fuentes Adams,45,Woman,1911-06-28,2022-07-13,2024-02-26,HR,162844,Meets
230,Christian,Payne,65,Decline to comment,02 Nov 1968,2024-03-19,2025-10-15,Customer Service,56853,5
231, Joseph,Harris,26,Decline to comment,1999-05-06,2024-04-08,2028-03-18,Sales,172797,Exceeds
232,,Dean Howard,53,Female,,2020-02-05,2023-01-31,Operations,161339,4
233, Judith,Mcintyre,44,Man,26 Sep 1977,2023-02-25,2025-01-21,IT,71819,2
234,Jerry,Gillespie,26,Boy,26 Apr 2001,2021-06-19,2023-04-04,HR,112957,Below
235,Mitchell,Patel,62,M,1946-10-21,2022-07-01,2024-04-19,marketinging,88281,Outstanding
236,sarah , west,30,Girl,2002-07-08,2024-09-16,2028-04-16,IT,38481,Below
237,Daniel,coleman ,,Male,16 Jan 1933,2021-02-15,2022-07-28,Customer Service,81405,Below
238, Veronica,Howard,22,Woman,02 Nov 2023,2024-01-03,2027-05-09,Finance,123158,4
239,Morgan,Fuentes,50,Decline to comment,05 Nov 1931,2024-03-09,2024-06-28,Marketing,195418,Below
240,William,fernandez ,64,F,17 Aug 1962,2022-04-09,2024-12-27,Customer Service,34215,Needs Improvement
241, Brandon,Anderson,41,M,01 Jan 1957,2021-11-02,2024-04-10,Engineering,100140,Below
242, Caleb,Miller,66,Decline to comment,1955-05-06,2023-02-18,2024-04-03,Operations,51758,1
243,,Leonard Frank,35,M,13 Jan 1993,2021-06-16,2021-10-16,Marketing,84736,Outstanding
244,Jason,Ramos,57,Boy,22 Jun 1944,2023-10-24,2026-12-15,Engineering,131776,1
245,Christopher,Rose,67,Female,03 Sep 1985,2021-05-24,2022-01-08,IT,140037,5
246,Matthew,Horton,64,Girl,31 Dec 1951,2021-09-30,2024-11-04,Sales,139707,3
247,David,Smith,51,F,,2024-05-03,2025-04-29,Marketing,166968,Meets
248,Douglas,Carson,23,Girl,28 Jan 1936,2020-04-15,2021-07-10,Finance,106492,3
249,Travis,Yates,63,M,1977-10-29,2021-11-19,2022-06-12,Customer Service,76625,1
250, Caleb,Thompson,35,Man,1990-09-26,2021-03-19,2024-12-20,Sales,120416,5
251,Eugene,acosta ,34,M,20 Sep 1912,2022-11-03,2024-08-02,Engineering,141971,4
252,Brandon, dorsey,40,Woman,17 Jun 2018,2020-04-07,2020-07-29,Marketing,149728,Below
253, Courtney,Clark,69,F,1908-12-18,2021-06-28,2024-02-19,HR,52518,5
254,Jesse,Torres,,Decline to comment,28 Nov 1920,2020-02-21,2021-07-30,Sales,120691,1
255,christie ,Jackson,,Female,12 Feb 1911,2020-05-29,2021-07-02,Engineering,191062,5
256,Miguel Laura,,23,Decline to comment,1950-12-13,2024-06-09,2025-08-13,HR,186910,Exceeds
257,Samantha,Luna,47,Man,04 Jun 1937,2024-04-13,2027-11-20,I,82386,Meets
258,Sherri,Harding,49,N/A,23 Oct 1945,2021-10-28,2022-11-03,Sales,115156,4
259,April,Willis,35,M,1918-07-15,2022-04-28,2023-06-16,Sales,38459,1
260,,Smith Krause,47,Boy,1985-07-29,2024-01-14,2024-12-11,HR,57160,1
261,Deborah,Ramirez,57,Decline to comment,19 Mar 1923,2022-04-20,2025-11-30,Marketing,116599,Exceeds
262,Natalie,Rivers,26,N/A,2014-06-10,2024-09-10,2028-08-07,Finance,32026,Below
263,David,fisher ,50,Male,1923-02-10,2022-10-05,2023-08-24,Finance,69744,Exceeds
264, Nicole,Tucker,,N/A,1959-05-06,2022-06-10,2024-06-07,IT,51411,1
265,Hannah,Castillo,,Girl,16 Sep 1989,2022-10-03,2024-02-01,Finance,162053,Outstanding
266,Joanne,johnson ,51,M,1990-05-04,2020-07-01,2021-04-28,Sales,65052,Exceeds
267,Adam,morales ,,Boy,1913-08-15,2020-08-01,2022-09-21,Marketing,30446,Outstanding
268,Karen,Gallagher,26,Boy,04 Jun 1982,2022-05-16,2023-12-27,Marketing,13838,Meets
269,Sherry, hicks,69,Male,2007-10-21,2022-03-19,2022-06-02,IT,63980,Meets
270,James,Rodriguez,24,Woman,,2024-06-24,2027-12-24,Finance,103748,Outstanding
271,gary ,Mcdowell,67,Boy,18 Feb 1955,2021-12-10,2024-04-13,Marketing,62198,1
272,Kimberly, wheeler,42,F,1939-10-27,2023-11-26,2027-06-15,HR,165147,Below
273,Desiree,Wright,32,Boy,01 Nov 2008,2022-04-12,2025-05-08,Engineering,129916,1
274,Victor,Cooper,42,N/A,24 Oct 1926,2021-10-02,2025-01-14,Engineering,175830,1
275,logan ,Floyd,33,N/A,1913-10-01,2021-11-17,2022-09-25,IT,146452,1
276,Maria,Todd,41,M,14 Sep 1978,2023-04-07,2025-11-22,Customer Service,113778,Needs Improvement
277,Gerald, weber,44,N/A,1952-11-22,2021-05-22,2023-07-23,Finance,45328,2
278,Kathy,Williams,25,N/A,2011-06-26,2022-08-30,2025-05-24,Engineering,57197,Outstanding
279, Susan,johnson ,54,Boy,1951-11-06,2022-11-16,2025-02-19,Finance,88175,Exceeds
280,Sean,Mason,24,Decline to comment,2001-01-09,2023-04-20,2026-07-18,Customer Service,128901,Exceeds
281,Victor,Parker,27,M,07 Jun 1920,2022-03-11,2025-03-28,Marketing,122811,Exceeds
282,adam ,Brown,55,Decline to comment,11 Feb 1930,2021-03-11,2023-07-07,IT,106308,2
283, Steven,Haney,34,M,1958-06-22,2020-06-01,2020-10-24,Financ,166968,1
284,Sheryl,Mcdaniel,60,Man,2019-07-19,2022-09-28,2023-04-11,Finance,170049,Exceeds
